KQKD | kqkd_lai_tren_co_phieu_pha_loang | N/A | Lãi trên cổ phiếu pha loãng (VND)
LCTT | lctt_loi_nhuan_truoc_thue | N/A | Lợi nhuận/(lỗ) trước thuế
LCTT | lctt_khau_hao_tscd_va_bdsdt | N/A | Khấu hao TSCĐ và BĐSĐT
LCTT | lctt_phan_bo_loi_the_thuong_mai | N/A | Phân bổ lợi thế thương mại
LCTT | lctt_chi_phi_du_phong | N/A | Chi phí dự phòng
LCTT | lctt_lailo_chenh_lech_ty_gia_hoi_doai_do_danh_gia_lai_cac_kh | N/A | Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ
LCTT | lctt_lai_tu_thanh_ly_tai_san_co_dinh | N/A | Lãi/(lỗ) từ thanh lý tài sản cố định
LCTT | lctt_lo_tu_hoat_dong_dau_tu | N/A | (Lãi)/lỗ từ hoạt động đầu tư
LCTT | lctt_chi_phi_lai_vay | N/A | Chi phí lãi vay
LCTT | lctt_thu_lai_va_co_tuc | N/A | Thu lãi và cổ tức
LCTT | lctt_cac_khoan_dieu_chinh_khac | N/A | Các khoản điều chỉnh khác
LCTT | lctt_luu_chuyen_tien_te_rong_tu_cac_hoat_dong_san_xuat_kinh_ | N/A | Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh
LCTT | lctt_loi_nhuan_tu_hoat_dong_kinh_doanh_truoc_nhung_thay_doi_ | N/A | Lợi nhuận/(lỗ) từ hoạt động kinh doanh trước những thay đổi vốn lưu động
LCTT | lctt_giam_cac_khoan_phai_thu | N/A | (Tăng)/giảm các khoản phải thu
LCTT | lctt_giam_hang_ton_kho | N/A | (Tăng)/giảm hàng tồn kho
LCTT | lctt_tang_cac_khoan_phai_tra | N/A | Tăng/(giảm) các khoản phải trả
LCTT | lctt_giam_chi_phi_tra_truoc | N/A | (Tăng)/giảm chi phí trả trước
LCTT | lctt_giam_chung_khoan_kinh_doanh | N/A | (Tăng)/giảm chứng khoán kinh doanh
LCTT | lctt_tien_lai_vay_da_tra | N/A | Tiền lãi vay đã trả
LCTT | lctt_thue_thu_nhap_doanh_nghiep_da_nop | N/A | Thuế thu nhập doanh nghiệp đã nộp
LCTT | lctt_tien_thu_khac_tu_hoat_dong_kinh_doanh | N/A | Tiền thu khác từ hoạt động kinh doanh
LCTT | lctt_tien_chi_khac_cho_hoat_dong_kinh_doanh | N/A | Tiền chi khác cho hoạt động kinh doanh
LCTT | lctt_luu_chuyen_tien_thuan_tu_hoat_dong_dau_tu | N/A | Lưu chuyển tiền thuần từ hoạt động đầu tư
LCTT | lctt_tien_chi_de_mua_sam_xay_dung_tscd_va_cac_tai_san_dai_ha | N/A | Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác
LCTT | lctt_tien_thu_tu_thanh_ly_nhuong_ban_tscd_va_cac_tai_san_dai | N/A | Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác
LCTT | lctt_tien_chi_cho_vay_mua_cac_cong_cu_no_cua_don_vi_khac | N/A | Tiền chi cho vay, mua các công cụ nợ của đơn vị khác
LCTT | lctt_tien_thu_hoi_cho_vay_ban_lai_cac_cong_cu_no_cua_don_vi_ | N/A | Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác
LCTT | lctt_tien_chi_dau_tu_gop_von_vao_don_vi_khac | N/A | Tiền chi đầu tư góp vốn vào đơn vị khác
LCTT | lctt_tien_thu_hoi_dau_tu_gop_von_vao_don_vi_khac | N/A | Tiền thu hồi đầu tư góp vốn vào đơn vị khác
LCTT | lctt_tien_thu_lai_cho_vay_co_tuc_va_loi_nhuan_duoc_chia | N/A | Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia
LCTT | lctt_luu_chuyen_tien_thuan_tu_hoat_dong_tai_chinh | N/A | Lưu chuyển tiền thuần từ hoạt động tài chính
LCTT | lctt_tien_thu_tu_phat_hanh_co_phieu_nhan_von_gop_cua_chu_so_ | N/A | Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu
LCTT | lctt_tien_chi_tra_von_gop_cho_cac_chu_so_huu_mua_lai_co_phie | N/A | Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành
LCTT | lctt_tien_thu_duoc_cac_khoan_di_vay | N/A | Tiền thu được các khoản đi vay
LCTT | lctt_tien_tra_no_goc_vay | N/A | Tiền trả nợ gốc vay
LCTT | lctt_tien_tra_no_goc_thue_tai_chinh | N/A | Tiền trả nợ gốc thuê tài chính
LCTT | lctt_co_tuc_loi_nhuan_da_tra_cho_chu_so_huu | N/A | Cổ tức, lợi nhuận đã trả cho chủ sở hữu
LCTT | lctt_tien_lai_da_nhan | N/A | Tiền lãi đã nhận
LCTT | lctt_luu_chuyen_tien_thuan_trong_ky | N/A | Lưu chuyển tiền thuần trong kỳ
LCTT | lctt_tien_va_tuong_duong_tien_dau_ky | N/A | Tiền và tương đương tiền đầu kỳ
LCTT | lctt_anh_huong_cua_thay_doi_ty_gia_hoi_doai_quy_doi_ngoai_te | N/A | Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ
LCTT | lctt_tien_va_tuong_duong_tien_cuoi_ky | N/A | Tiền và tương đương tiền cuối kỳ
NOTE | note_tien_va_tuong_duong_tien | N/A | Tiền và tương đương tiền
NOTE | note_tien_mat | N/A | Tiền mặt
NOTE | note_tien_gui_ngan_hang | N/A | Tiền gửi Ngân hàng
NOTE | note_tien_dang_chuyen | N/A | Tiền đang chuyển
